PING 10.0.0.8 (10.0.0.8) 56(84) bytes of data.
64 bytes from 10.0.0.8: icmp_seq=3 ttl=64 time=29.1 ms
64 bytes from 10.0.0.8: icmp_seq=4 ttl=64 time=12.6 ms
64 bytes from 10.0.0.8: icmp_seq=5 ttl=64 time=101 ms
64 bytes from 10.0.0.8: icmp_seq=8 ttl=64 time=12.9 ms
64 bytes from 10.0.0.8: icmp_seq=9 ttl=64 time=12.6 ms
64 bytes from 10.0.0.8: icmp_seq=10 ttl=64 time=12.3 ms
64 bytes from 10.0.0.8: icmp_seq=13 ttl=64 time=12.5 ms
64 bytes from 10.0.0.8: icmp_seq=14 ttl=64 time=12.3 ms
64 bytes from 10.0.0.8: icmp_seq=15 ttl=64 time=12.6 ms
64 bytes from 10.0.0.8: icmp_seq=18 ttl=64 time=12.3 ms
64 bytes from 10.0.0.8: icmp_seq=19 ttl=64 time=12.3 ms
64 bytes from 10.0.0.8: icmp_seq=20 ttl=64 time=12.5 ms
64 bytes from 10.0.0.8: icmp_seq=23 ttl=64 time=12.6 ms
64 bytes from 10.0.0.8: icmp_seq=24 ttl=64 time=12.4 ms
64 bytes from 10.0.0.8: icmp_seq=27 ttl=64 time=59.3 ms
64 bytes from 10.0.0.8: icmp_seq=28 ttl=64 time=12.3 ms
64 bytes from 10.0.0.8: icmp_seq=29 ttl=64 time=12.3 ms
64 bytes from 10.0.0.8: icmp_seq=32 ttl=64 time=42.6 ms
64 bytes from 10.0.0.8: icmp_seq=33 ttl=64 time=12.4 ms
64 bytes from 10.0.0.8: icmp_seq=34 ttl=64 time=12.3 ms
64 bytes from 10.0.0.8: icmp_seq=37 ttl=64 time=20.4 ms
64 bytes from 10.0.0.8: icmp_seq=38 ttl=64 time=12.4 ms
64 bytes from 10.0.0.8: icmp_seq=39 ttl=64 time=12.4 ms
64 bytes from 10.0.0.8: icmp_seq=42 ttl=64 time=12.6 ms
64 bytes from 10.0.0.8: icmp_seq=43 ttl=64 time=12.4 ms
64 bytes from 10.0.0.8: icmp_seq=44 ttl=64 time=29.1 ms
64 bytes from 10.0.0.8: icmp_seq=47 ttl=64 time=12.3 ms
64 bytes from 10.0.0.8: icmp_seq=48 ttl=64 time=12.4 ms
64 bytes from 10.0.0.8: icmp_seq=49 ttl=64 time=12.4 ms
64 bytes from 10.0.0.8: icmp_seq=52 ttl=64 time=12.6 ms
64 bytes from 10.0.0.8: icmp_seq=53 ttl=64 time=12.4 ms
64 bytes from 10.0.0.8: icmp_seq=54 ttl=64 time=12.3 ms
64 bytes from 10.0.0.8: icmp_seq=57 ttl=64 time=12.3 ms
64 bytes from 10.0.0.8: icmp_seq=58 ttl=64 time=12.4 ms
64 bytes from 10.0.0.8: icmp_seq=62 ttl=64 time=12.5 ms
64 bytes from 10.0.0.8: icmp_seq=63 ttl=64 time=12.4 ms
64 bytes from 10.0.0.8: icmp_seq=66 ttl=64 time=35.2 ms
64 bytes from 10.0.0.8: icmp_seq=67 ttl=64 time=12.4 ms
64 bytes from 10.0.0.8: icmp_seq=68 ttl=64 time=12.4 ms
64 bytes from 10.0.0.8: icmp_seq=71 ttl=64 time=26.6 ms
64 bytes from 10.0.0.8: icmp_seq=72 ttl=64 time=12.4 ms
64 bytes from 10.0.0.8: icmp_seq=73 ttl=64 time=12.4 ms
64 bytes from 10.0.0.8: icmp_seq=76 ttl=64 time=12.3 ms
64 bytes from 10.0.0.8: icmp_seq=77 ttl=64 time=12.4 ms
64 bytes from 10.0.0.8: icmp_seq=78 ttl=64 time=12.4 ms
64 bytes from 10.0.0.8: icmp_seq=81 ttl=64 time=12.6 ms
64 bytes from 10.0.0.8: icmp_seq=82 ttl=64 time=12.4 ms
64 bytes from 10.0.0.8: icmp_seq=83 ttl=64 time=12.3 ms
64 bytes from 10.0.0.8: icmp_seq=86 ttl=64 time=12.3 ms
64 bytes from 10.0.0.8: icmp_seq=87 ttl=64 time=12.3 ms
64 bytes from 10.0.0.8: icmp_seq=88 ttl=64 time=12.7 ms
64 bytes from 10.0.0.8: icmp_seq=91 ttl=64 time=12.5 ms
64 bytes from 10.0.0.8: icmp_seq=92 ttl=64 time=21.8 ms
64 bytes from 10.0.0.8: icmp_seq=95 ttl=64 time=45.4 ms
64 bytes from 10.0.0.8: icmp_seq=96 ttl=64 time=12.3 ms
64 bytes from 10.0.0.8: icmp_seq=97 ttl=64 time=12.3 ms
64 bytes from 10.0.0.8: icmp_seq=100 ttl=64 time=30.6 ms
64 bytes from 10.0.0.8: icmp_seq=101 ttl=64 time=12.3 ms
64 bytes from 10.0.0.8: icmp_seq=102 ttl=64 time=12.3 ms
64 bytes from 10.0.0.8: icmp_seq=105 ttl=64 time=14.3 ms
64 bytes from 10.0.0.8: icmp_seq=106 ttl=64 time=12.3 ms
64 bytes from 10.0.0.8: icmp_seq=107 ttl=64 time=12.3 ms
64 bytes from 10.0.0.8: icmp_seq=110 ttl=64 time=12.5 ms
64 bytes from 10.0.0.8: icmp_seq=111 ttl=64 time=12.3 ms
64 bytes from 10.0.0.8: icmp_seq=112 ttl=64 time=12.3 ms
64 bytes from 10.0.0.8: icmp_seq=115 ttl=64 time=12.3 ms
64 bytes from 10.0.0.8: icmp_seq=116 ttl=64 time=12.3 ms
64 bytes from 10.0.0.8: icmp_seq=117 ttl=64 time=12.2 ms
64 bytes from 10.0.0.8: icmp_seq=120 ttl=64 time=12.5 ms
64 bytes from 10.0.0.8: icmp_seq=121 ttl=64 time=12.3 ms
64 bytes from 10.0.0.8: icmp_seq=125 ttl=64 time=12.3 ms
64 bytes from 10.0.0.8: icmp_seq=126 ttl=64 time=12.3 ms
64 bytes from 10.0.0.8: icmp_seq=129 ttl=64 time=30.6 ms
64 bytes from 10.0.0.8: icmp_seq=130 ttl=64 time=12.3 ms
64 bytes from 10.0.0.8: icmp_seq=131 ttl=64 time=37.7 ms
64 bytes from 10.0.0.8: icmp_seq=134 ttl=64 time=12.3 ms
64 bytes from 10.0.0.8: icmp_seq=135 ttl=64 time=12.3 ms
64 bytes from 10.0.0.8: icmp_seq=136 ttl=64 time=12.3 ms
64 bytes from 10.0.0.8: icmp_seq=139 ttl=64 time=12.5 ms
64 bytes from 10.0.0.8: icmp_seq=140 ttl=64 time=12.3 ms
64 bytes from 10.0.0.8: icmp_seq=141 ttl=64 time=29.7 ms
64 bytes from 10.0.0.8: icmp_seq=144 ttl=64 time=12.3 ms
64 bytes from 10.0.0.8: icmp_seq=145 ttl=64 time=12.3 ms
64 bytes from 10.0.0.8: icmp_seq=146 ttl=64 time=12.6 ms
64 bytes from 10.0.0.8: icmp_seq=149 ttl=64 time=12.5 ms
64 bytes from 10.0.0.8: icmp_seq=150 ttl=64 time=12.3 ms
64 bytes from 10.0.0.8: icmp_seq=153 ttl=64 time=55.5 ms
64 bytes from 10.0.0.8: icmp_seq=154 ttl=64 time=12.3 ms
64 bytes from 10.0.0.8: icmp_seq=155 ttl=64 time=12.3 ms
64 bytes from 10.0.0.8: icmp_seq=158 ttl=64 time=48.1 ms
64 bytes from 10.0.0.8: icmp_seq=159 ttl=64 time=12.3 ms
64 bytes from 10.0.0.8: icmp_seq=160 ttl=64 time=41.9 ms
64 bytes from 10.0.0.8: icmp_seq=163 ttl=64 time=20.8 ms
64 bytes from 10.0.0.8: icmp_seq=164 ttl=64 time=12.3 ms
64 bytes from 10.0.0.8: icmp_seq=165 ttl=64 time=12.4 ms
64 bytes from 10.0.0.8: icmp_seq=168 ttl=64 time=12.5 ms
64 bytes from 10.0.0.8: icmp_seq=169 ttl=64 time=12.3 ms
64 bytes from 10.0.0.8: icmp_seq=170 ttl=64 time=29.4 ms
64 bytes from 10.0.0.8: icmp_seq=173 ttl=64 time=12.3 ms
64 bytes from 10.0.0.8: icmp_seq=174 ttl=64 time=12.3 ms
64 bytes from 10.0.0.8: icmp_seq=175 ttl=64 time=12.3 ms
64 bytes from 10.0.0.8: icmp_seq=178 ttl=64 time=12.5 ms
64 bytes from 10.0.0.8: icmp_seq=179 ttl=64 time=12.3 ms
64 bytes from 10.0.0.8: icmp_seq=183 ttl=64 time=12.3 ms
64 bytes from 10.0.0.8: icmp_seq=184 ttl=64 time=12.3 ms
64 bytes from 10.0.0.8: icmp_seq=187 ttl=64 time=48.1 ms
64 bytes from 10.0.0.8: icmp_seq=188 ttl=64 time=12.3 ms
64 bytes from 10.0.0.8: icmp_seq=189 ttl=64 time=37.8 ms
64 bytes from 10.0.0.8: icmp_seq=192 ttl=64 time=21.7 ms
64 bytes from 10.0.0.8: icmp_seq=193 ttl=64 time=12.3 ms
64 bytes from 10.0.0.8: icmp_seq=194 ttl=64 time=12.3 ms
64 bytes from 10.0.0.8: icmp_seq=197 ttl=64 time=12.5 ms
64 bytes from 10.0.0.8: icmp_seq=198 ttl=64 time=12.3 ms
64 bytes from 10.0.0.8: icmp_seq=199 ttl=64 time=12.3 ms
64 bytes from 10.0.0.8: icmp_seq=202 ttl=64 time=12.3 ms
64 bytes from 10.0.0.8: icmp_seq=203 ttl=64 time=12.3 ms
64 bytes from 10.0.0.8: icmp_seq=204 ttl=64 time=12.3 ms
64 bytes from 10.0.0.8: icmp_seq=207 ttl=64 time=12.5 ms
64 bytes from 10.0.0.8: icmp_seq=208 ttl=64 time=12.3 ms
64 bytes from 10.0.0.8: icmp_seq=211 ttl=64 time=53.7 ms
64 bytes from 10.0.0.8: icmp_seq=212 ttl=64 time=12.3 ms
64 bytes from 10.0.0.8: icmp_seq=213 ttl=64 time=12.3 ms
64 bytes from 10.0.0.8: icmp_seq=216 ttl=64 time=46.5 ms
64 bytes from 10.0.0.8: icmp_seq=217 ttl=64 time=12.4 ms
64 bytes from 10.0.0.8: icmp_seq=218 ttl=64 time=12.4 ms
64 bytes from 10.0.0.8: icmp_seq=221 ttl=64 time=27.4 ms
64 bytes from 10.0.0.8: icmp_seq=222 ttl=64 time=12.3 ms
64 bytes from 10.0.0.8: icmp_seq=223 ttl=64 time=12.3 ms
64 bytes from 10.0.0.8: icmp_seq=226 ttl=64 time=14.6 ms
64 bytes from 10.0.0.8: icmp_seq=227 ttl=64 time=12.3 ms
64 bytes from 10.0.0.8: icmp_seq=228 ttl=64 time=12.4 ms
64 bytes from 10.0.0.8: icmp_seq=231 ttl=64 time=12.3 ms
64 bytes from 10.0.0.8: icmp_seq=232 ttl=64 time=12.4 ms
64 bytes from 10.0.0.8: icmp_seq=233 ttl=64 time=12.4 ms
64 bytes from 10.0.0.8: icmp_seq=236 ttl=64 time=12.5 ms
64 bytes from 10.0.0.8: icmp_seq=237 ttl=64 time=12.4 ms
64 bytes from 10.0.0.8: icmp_seq=238 ttl=64 time=12.5 ms
64 bytes from 10.0.0.8: icmp_seq=241 ttl=64 time=12.3 ms
64 bytes from 10.0.0.8: icmp_seq=242 ttl=64 time=12.4 ms
64 bytes from 10.0.0.8: icmp_seq=243 ttl=64 time=12.6 ms
64 bytes from 10.0.0.8: icmp_seq=246 ttl=64 time=12.5 ms
64 bytes from 10.0.0.8: icmp_seq=247 ttl=64 time=17.5 ms
64 bytes from 10.0.0.8: icmp_seq=251 ttl=64 time=12.4 ms
64 bytes from 10.0.0.8: icmp_seq=252 ttl=64 time=12.4 ms
64 bytes from 10.0.0.8: icmp_seq=255 ttl=64 time=34.7 ms
64 bytes from 10.0.0.8: icmp_seq=256 ttl=64 time=12.3 ms
64 bytes from 10.0.0.8: icmp_seq=257 ttl=64 time=12.3 ms
64 bytes from 10.0.0.8: icmp_seq=260 ttl=64 time=30.6 ms
64 bytes from 10.0.0.8: icmp_seq=261 ttl=64 time=12.3 ms
64 bytes from 10.0.0.8: icmp_seq=262 ttl=64 time=12.3 ms
64 bytes from 10.0.0.8: icmp_seq=265 ttl=64 time=12.6 ms
64 bytes from 10.0.0.8: icmp_seq=266 ttl=64 time=12.4 ms
64 bytes from 10.0.0.8: icmp_seq=267 ttl=64 time=25.2 ms
64 bytes from 10.0.0.8: icmp_seq=270 ttl=64 time=12.3 ms
64 bytes from 10.0.0.8: icmp_seq=271 ttl=64 time=12.3 ms
64 bytes from 10.0.0.8: icmp_seq=272 ttl=64 time=12.3 ms
64 bytes from 10.0.0.8: icmp_seq=275 ttl=64 time=12.3 ms
64 bytes from 10.0.0.8: icmp_seq=276 ttl=64 time=12.4 ms
64 bytes from 10.0.0.8: icmp_seq=279 ttl=64 time=56.6 ms
64 bytes from 10.0.0.8: icmp_seq=280 ttl=64 time=12.3 ms
64 bytes from 10.0.0.8: icmp_seq=281 ttl=64 time=12.3 ms
64 bytes from 10.0.0.8: icmp_seq=284 ttl=64 time=46.4 ms
64 bytes from 10.0.0.8: icmp_seq=285 ttl=64 time=12.3 ms
64 bytes from 10.0.0.8: icmp_seq=286 ttl=64 time=12.3 ms
64 bytes from 10.0.0.8: icmp_seq=289 ttl=64 time=36.1 ms
64 bytes from 10.0.0.8: icmp_seq=290 ttl=64 time=12.3 ms
64 bytes from 10.0.0.8: icmp_seq=291 ttl=64 time=12.3 ms
64 bytes from 10.0.0.8: icmp_seq=294 ttl=64 time=22.4 ms
64 bytes from 10.0.0.8: icmp_seq=295 ttl=64 time=12.4 ms
64 bytes from 10.0.0.8: icmp_seq=296 ttl=64 time=12.3 ms
64 bytes from 10.0.0.8: icmp_seq=299 ttl=64 time=12.3 ms
64 bytes from 10.0.0.8: icmp_seq=300 ttl=64 time=12.3 ms
64 bytes from 10.0.0.8: icmp_seq=301 ttl=64 time=12.3 ms
64 bytes from 10.0.0.8: icmp_seq=304 ttl=64 time=12.3 ms
64 bytes from 10.0.0.8: icmp_seq=305 ttl=64 time=12.3 ms
64 bytes from 10.0.0.8: icmp_seq=306 ttl=64 time=12.3 ms
64 bytes from 10.0.0.8: icmp_seq=309 ttl=64 time=12.3 ms
64 bytes from 10.0.0.8: icmp_seq=310 ttl=64 time=12.3 ms
64 bytes from 10.0.0.8: icmp_seq=314 ttl=64 time=12.3 ms
64 bytes from 10.0.0.8: icmp_seq=315 ttl=64 time=50.0 ms
64 bytes from 10.0.0.8: icmp_seq=318 ttl=64 time=40.1 ms
64 bytes from 10.0.0.8: icmp_seq=319 ttl=64 time=12.3 ms
64 bytes from 10.0.0.8: icmp_seq=320 ttl=64 time=12.3 ms
64 bytes from 10.0.0.8: icmp_seq=323 ttl=64 time=30.4 ms
64 bytes from 10.0.0.8: icmp_seq=324 ttl=64 time=12.3 ms
64 bytes from 10.0.0.8: icmp_seq=325 ttl=64 time=12.3 ms
64 bytes from 10.0.0.8: icmp_seq=328 ttl=64 time=20.6 ms
64 bytes from 10.0.0.8: icmp_seq=329 ttl=64 time=12.3 ms
64 bytes from 10.0.0.8: icmp_seq=330 ttl=64 time=12.3 ms
64 bytes from 10.0.0.8: icmp_seq=333 ttl=64 time=12.4 ms
64 bytes from 10.0.0.8: icmp_seq=334 ttl=64 time=12.4 ms
64 bytes from 10.0.0.8: icmp_seq=335 ttl=64 time=25.2 ms
64 bytes from 10.0.0.8: icmp_seq=338 ttl=64 time=12.3 ms
64 bytes from 10.0.0.8: icmp_seq=339 ttl=64 time=12.3 ms
64 bytes from 10.0.0.8: icmp_seq=340 ttl=64 time=12.4 ms
64 bytes from 10.0.0.8: icmp_seq=343 ttl=64 time=12.3 ms
64 bytes from 10.0.0.8: icmp_seq=344 ttl=64 time=12.3 ms
64 bytes from 10.0.0.8: icmp_seq=347 ttl=64 time=52.4 ms
64 bytes from 10.0.0.8: icmp_seq=348 ttl=64 time=12.3 ms
64 bytes from 10.0.0.8: icmp_seq=349 ttl=64 time=12.3 ms
64 bytes from 10.0.0.8: icmp_seq=352 ttl=64 time=52.2 ms
64 bytes from 10.0.0.8: icmp_seq=353 ttl=64 time=12.3 ms
64 bytes from 10.0.0.8: icmp_seq=354 ttl=64 time=12.3 ms
64 bytes from 10.0.0.8: icmp_seq=357 ttl=64 time=28.8 ms
64 bytes from 10.0.0.8: icmp_seq=358 ttl=64 time=12.3 ms
64 bytes from 10.0.0.8: icmp_seq=359 ttl=64 time=12.3 ms
64 bytes from 10.0.0.8: icmp_seq=362 ttl=64 time=12.3 ms
64 bytes from 10.0.0.8: icmp_seq=363 ttl=64 time=12.3 ms
64 bytes from 10.0.0.8: icmp_seq=364 ttl=64 time=12.3 ms
64 bytes from 10.0.0.8: icmp_seq=367 ttl=64 time=12.3 ms
64 bytes from 10.0.0.8: icmp_seq=368 ttl=64 time=12.3 ms
64 bytes from 10.0.0.8: icmp_seq=369 ttl=64 time=12.3 ms
64 bytes from 10.0.0.8: icmp_seq=372 ttl=64 time=12.3 ms
64 bytes from 10.0.0.8: icmp_seq=373 ttl=64 time=26.1 ms
64 bytes from 10.0.0.8: icmp_seq=374 ttl=64 time=63.7 ms
64 bytes from 10.0.0.8: icmp_seq=377 ttl=64 time=12.3 ms
64 bytes from 10.0.0.8: icmp_seq=378 ttl=64 time=12.4 ms
64 bytes from 10.0.0.8: icmp_seq=381 ttl=64 time=50.4 ms
64 bytes from 10.0.0.8: icmp_seq=382 ttl=64 time=12.3 ms
64 bytes from 10.0.0.8: icmp_seq=383 ttl=64 time=12.4 ms
64 bytes from 10.0.0.8: icmp_seq=386 ttl=64 time=46.8 ms
64 bytes from 10.0.0.8: icmp_seq=387 ttl=64 time=12.3 ms
64 bytes from 10.0.0.8: icmp_seq=388 ttl=64 time=12.3 ms
64 bytes from 10.0.0.8: icmp_seq=391 ttl=64 time=38.4 ms
64 bytes from 10.0.0.8: icmp_seq=392 ttl=64 time=12.3 ms
64 bytes from 10.0.0.8: icmp_seq=393 ttl=64 time=12.3 ms
64 bytes from 10.0.0.8: icmp_seq=396 ttl=64 time=23.4 ms
64 bytes from 10.0.0.8: icmp_seq=397 ttl=64 time=12.3 ms
64 bytes from 10.0.0.8: icmp_seq=398 ttl=64 time=12.3 ms
64 bytes from 10.0.0.8: icmp_seq=401 ttl=64 time=12.4 ms
64 bytes from 10.0.0.8: icmp_seq=402 ttl=64 time=12.4 ms
64 bytes from 10.0.0.8: icmp_seq=403 ttl=64 time=38.2 ms
64 bytes from 10.0.0.8: icmp_seq=406 ttl=64 time=12.3 ms
64 bytes from 10.0.0.8: icmp_seq=407 ttl=64 time=12.3 ms
64 bytes from 10.0.0.8: icmp_seq=408 ttl=64 time=12.3 ms
64 bytes from 10.0.0.8: icmp_seq=411 ttl=64 time=12.3 ms
64 bytes from 10.0.0.8: icmp_seq=412 ttl=64 time=12.3 ms
64 bytes from 10.0.0.8: icmp_seq=413 ttl=64 time=53.7 ms
64 bytes from 10.0.0.8: icmp_seq=416 ttl=64 time=12.3 ms
64 bytes from 10.0.0.8: icmp_seq=417 ttl=64 time=12.3 ms
64 bytes from 10.0.0.8: icmp_seq=421 ttl=64 time=12.3 ms
64 bytes from 10.0.0.8: icmp_seq=422 ttl=64 time=12.3 ms
64 bytes from 10.0.0.8: icmp_seq=425 ttl=64 time=36.8 ms
64 bytes from 10.0.0.8: icmp_seq=426 ttl=64 time=12.3 ms
64 bytes from 10.0.0.8: icmp_seq=427 ttl=64 time=12.3 ms
64 bytes from 10.0.0.8: icmp_seq=430 ttl=64 time=22.4 ms
64 bytes from 10.0.0.8: icmp_seq=431 ttl=64 time=12.4 ms
64 bytes from 10.0.0.8: icmp_seq=432 ttl=64 time=12.3 ms
64 bytes from 10.0.0.8: icmp_seq=435 ttl=64 time=14.1 ms
64 bytes from 10.0.0.8: icmp_seq=436 ttl=64 time=12.3 ms
64 bytes from 10.0.0.8: icmp_seq=437 ttl=64 time=12.3 ms
64 bytes from 10.0.0.8: icmp_seq=440 ttl=64 time=12.4 ms
64 bytes from 10.0.0.8: icmp_seq=441 ttl=64 time=12.3 ms
64 bytes from 10.0.0.8: icmp_seq=442 ttl=64 time=62.4 ms
64 bytes from 10.0.0.8: icmp_seq=445 ttl=64 time=12.3 ms
64 bytes from 10.0.0.8: icmp_seq=446 ttl=64 time=12.3 ms
64 bytes from 10.0.0.8: icmp_seq=447 ttl=64 time=12.6 ms
64 bytes from 10.0.0.8: icmp_seq=450 ttl=64 time=12.3 ms
64 bytes from 10.0.0.8: icmp_seq=451 ttl=64 time=12.3 ms
64 bytes from 10.0.0.8: icmp_seq=454 ttl=64 time=56.6 ms
64 bytes from 10.0.0.8: icmp_seq=455 ttl=64 time=12.3 ms
64 bytes from 10.0.0.8: icmp_seq=456 ttl=64 time=12.3 ms
64 bytes from 10.0.0.8: icmp_seq=459 ttl=64 time=38.4 ms
64 bytes from 10.0.0.8: icmp_seq=460 ttl=64 time=12.3 ms
64 bytes from 10.0.0.8: icmp_seq=461 ttl=64 time=12.3 ms
64 bytes from 10.0.0.8: icmp_seq=464 ttl=64 time=22.3 ms
64 bytes from 10.0.0.8: icmp_seq=465 ttl=64 time=12.4 ms
64 bytes from 10.0.0.8: icmp_seq=466 ttl=64 time=12.3 ms
64 bytes from 10.0.0.8: icmp_seq=469 ttl=64 time=12.3 ms
64 bytes from 10.0.0.8: icmp_seq=470 ttl=64 time=12.3 ms
64 bytes from 10.0.0.8: icmp_seq=471 ttl=64 time=54.2 ms
64 bytes from 10.0.0.8: icmp_seq=474 ttl=64 time=12.3 ms
64 bytes from 10.0.0.8: icmp_seq=475 ttl=64 time=12.3 ms
64 bytes from 10.0.0.8: icmp_seq=476 ttl=64 time=12.3 ms
64 bytes from 10.0.0.8: icmp_seq=479 ttl=64 time=12.3 ms
64 bytes from 10.0.0.8: icmp_seq=480 ttl=64 time=12.3 ms
64 bytes from 10.0.0.8: icmp_seq=481 ttl=64 time=12.8 ms
64 bytes from 10.0.0.8: icmp_seq=484 ttl=64 time=12.3 ms
64 bytes from 10.0.0.8: icmp_seq=485 ttl=64 time=12.3 ms
64 bytes from 10.0.0.8: icmp_seq=488 ttl=64 time=55.9 ms
64 bytes from 10.0.0.8: icmp_seq=489 ttl=64 time=12.3 ms
64 bytes from 10.0.0.8: icmp_seq=490 ttl=64 time=12.3 ms
64 bytes from 10.0.0.8: icmp_seq=493 ttl=64 time=40.0 ms
64 bytes from 10.0.0.8: icmp_seq=494 ttl=64 time=12.3 ms
64 bytes from 10.0.0.8: icmp_seq=495 ttl=64 time=12.3 ms
64 bytes from 10.0.0.8: icmp_seq=498 ttl=64 time=31.8 ms
64 bytes from 10.0.0.8: icmp_seq=499 ttl=64 time=12.3 ms
64 bytes from 10.0.0.8: icmp_seq=500 ttl=64 time=53.1 ms
