-----------------------------------------------------------
Server listening on 5001
-----------------------------------------------------------
Accepted connection from 10.0.0.11, port 57521
[ 98] local 10.0.0.31 port 5001 connected to 10.0.0.11 port 57524
[ ID] Interval           Transfer     Bandwidth
[ 98]   0.00-1.00   sec  39.6 KBytes   324 Kbits/sec                  
[ 98]   1.00-2.00   sec  0.00 Bytes  0.00 bits/sec                  
[ 98]   2.00-3.00   sec  70.7 KBytes   580 Kbits/sec                  
[ 98]   3.00-4.00   sec  36.8 KBytes   301 Kbits/sec                  
[ 98]   4.00-5.00   sec  4.24 KBytes  34.8 Kbits/sec                  
[ 98]   5.00-6.00   sec  11.3 KBytes  92.7 Kbits/sec                  
[ 98]   6.00-7.00   sec  42.4 KBytes   348 Kbits/sec                  
[ 98]   7.00-8.00   sec  15.6 KBytes   127 Kbits/sec                  
[ 98]   8.00-9.00   sec  8.48 KBytes  69.5 Kbits/sec                  
[ 98]   9.00-10.00  sec  7.07 KBytes  57.9 Kbits/sec                  
[ 98]  10.00-11.00  sec  1.41 KBytes  11.6 Kbits/sec                  
[ 98]  11.00-12.00  sec  1.41 KBytes  11.6 Kbits/sec                  
[ 98]  12.00-13.00  sec  0.00 Bytes  0.00 bits/sec                  
[ 98]  13.00-14.00  sec  0.00 Bytes  0.00 bits/sec                  
[ 98]  14.00-15.00  sec  0.00 Bytes  0.00 bits/sec                  
[ 98]  15.00-16.00  sec  0.00 Bytes  0.00 bits/sec                  
[ 98]  16.00-17.00  sec  0.00 Bytes  0.00 bits/sec                  
[ 98]  17.00-18.00  sec  0.00 Bytes  0.00 bits/sec                  
[ 98]  18.00-19.00  sec  0.00 Bytes  0.00 bits/sec                  
[ 98]  19.00-20.00  sec  0.00 Bytes  0.00 bits/sec                  
[ 98]  20.00-21.00  sec  0.00 Bytes  0.00 bits/sec                  
[ 98]  21.00-22.00  sec  0.00 Bytes  0.00 bits/sec                  
[ 98]  22.00-23.00  sec  0.00 Bytes  0.00 bits/sec                  
[ 98]  23.00-24.00  sec  0.00 Bytes  0.00 bits/sec                  
[ 98]  24.00-25.00  sec  0.00 Bytes  0.00 bits/sec                  
[ 98]  25.00-26.00  sec  0.00 Bytes  0.00 bits/sec                  
[ 98]  26.00-27.00  sec  0.00 Bytes  0.00 bits/sec                  
[ 98]  27.00-28.00  sec  0.00 Bytes  0.00 bits/sec                  
[ 98]  28.00-29.00  sec  7.07 KBytes  58.0 Kbits/sec                  
[ 98]  29.00-30.00  sec  26.9 KBytes   220 Kbits/sec                  
[ 98]  30.00-31.00  sec  22.6 KBytes   185 Kbits/sec                  
[ 98]  31.00-32.00  sec  0.00 Bytes  0.00 bits/sec                  
[ 98]  32.00-33.00  sec  0.00 Bytes  0.00 bits/sec                  
[ 98]  33.00-34.00  sec  0.00 Bytes  0.00 bits/sec                  
[ 98]  34.00-35.00  sec  0.00 Bytes  0.00 bits/sec                  
[ 98]  35.00-36.00  sec  0.00 Bytes  0.00 bits/sec                  
[ 98]  36.00-37.00  sec  0.00 Bytes  0.00 bits/sec                  
[ 98]  37.00-38.00  sec  0.00 Bytes  0.00 bits/sec                  
[ 98]  38.00-39.00  sec  9.90 KBytes  81.2 Kbits/sec                  
